week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,rel_yr,rel_mt,country_pop,trend_count
37,Movie,#Alive,South Korea,Horror,9/8/2020,FALSE,62,86,PAK,https://flixpatrol.com/title/alive-2020,ASI,2020,9,51640000,193
37,TV Show,Resurrection: Ertugrul,Turkey,Unknown,12/11/2014,FALSE,78,0,PAK,https://flixpatrol.com/title/resurrection-ertugrul-2014,ASI,2014,12,84339067,44
36,Movie,Aquaman,United States of America,Superhero,12/7/2018,FALSE,77,65,PAK,https://flixpatrol.com/title/aquaman,ASI,2018,12,331002647,1808
36,TV Show,Resurrection: Ertugrul,Turkey,Unknown,12/11/2014,FALSE,78,0,PAK,https://flixpatrol.com/title/resurrection-ertugrul-2014,ASI,2014,12,84339067,44
35,Movie,Class of '83,India,Drama,8/21/2020,FALSE,0,20,PAK,https://flixpatrol.com/title/class-of-83,ASI,2020,8,1380004385,21
35,TV Show,Lucifer,United States of America,Superhero,1/25/2016,TRUE,83,87,PAK,https://flixpatrol.com/title/lucifer,ASI,2016,1,331002647,1808
37,Movie,"Love, Guaranteed",United States of America,Comedy,9/3/2020,TRUE,55,50,CHE,https://flixpatrol.com/title/love-guaranteed,EUR,2020,9,331002647,1808
37,TV Show,Away,United States of America,Science Fiction,9/4/2020,TRUE,71,73,CHE,https://flixpatrol.com/title/away-2020,EUR,2020,9,331002647,1808
36,Movie,Aquaman,United States of America,Superhero,12/7/2018,FALSE,77,65,CHE,https://flixpatrol.com/title/aquaman,EUR,2018,12,331002647,1808
36,TV Show,Cobra Kai,United States of America,Action,5/2/2018,FALSE,88,94,CHE,https://flixpatrol.com/title/cobra-kai,EUR,2018,5,331002647,1808
35,Movie,Venom,United States of America,Superhero,10/3/2018,FALSE,71,29,CHE,https://flixpatrol.com/title/venom-2018,EUR,2018,10,331002647,1808
35,TV Show,Lucifer,United States of America,Superhero,1/25/2016,TRUE,83,87,CHE,https://flixpatrol.com/title/lucifer,EUR,2016,1,331002647,1808
34,Movie,Project Power,United States of America,Action,8/14/2020,TRUE,61,63,CHE,https://flixpatrol.com/title/project-power,EUR,2020,8,331002647,1808
34,TV Show,The Umbrella Academy,United States of America,Superhero,2/15/2019,TRUE,83,82,CHE,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2,331002647,1808
33,Movie,Work It,United States of America,Comedy,8/7/2020,TRUE,61,0,CHE,https://flixpatrol.com/title/work-it-2020,EUR,2020,8,331002647,1808
33,TV Show,The Umbrella Academy,United States of America,Superhero,2/15/2019,TRUE,83,82,CHE,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2,331002647,1808
32,Movie,The Kissing Booth 2,United Kingdom,Romance,7/24/2020,TRUE,62,28,CHE,https://flixpatrol.com/title/the-kissing-booth-2,EUR,2020,7,67886004,150
32,TV Show,The Umbrella Academy,United States of America,Superhero,2/15/2019,TRUE,83,82,CHE,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2,331002647,1808
